username,ip_region,hour,device_type,user_role,action,sessionPeriod,risk_score
dung,Vietnam,23,new,employee,logout,4,0.647
dung,Nigeria,13,known,employee,login,6,0.247
dung,Nigeria,6,new,employee,page_view_jit_request,18,0.256
dung,US,22,new,guest,page_view_home,4,0.443
alice,Vietnam,2,new,employee,page_view_home,27,0.569
alice,Vietnam,23,new,admin,login,29,0.776
alice,Nigeria,11,known,admin,login,1,0.332
alice,Vietnam,7,known,guest,page_view_home,14,0.327
alice,US,11,new,employee,page_view_home,22,0.387
dung,Nigeria,20,known,admin,logout,5,0.092
alice,Nigeria,7,new,employee,logout,26,0.206
alice,Germany,8,known,employee,token_request,28,0.344
anonymous,Germany,12,new,employee,page_view_home,4,0.249
alice,Nigeria,13,new,guest,logout,4,0.502
dung,Vietnam,3,known,admin,logout,25,0.436
dung,Germany,12,new,admin,page_view_home,17,0.372
dung,Vietnam,21,new,admin,page_view_home,3,0.259
anonymous,Germany,0,new,admin,logout,16,0.683
alice,Nigeria,19,known,employee,page_view_home,24,0.032
dung,Nigeria,10,new,employee,login,29,0.473
alice,US,1,known,admin,login,2,0.646
dung,Nigeria,4,known,admin,page_view_jit_request,30,0.41
alice,Nigeria,19,new,employee,token_request,24,0.546
anonymous,India,12,new,guest,token_request,14,0.624
anonymous,Vietnam,10,known,admin,token_request,7,0.318
dung,Vietnam,22,known,employee,login,28,0.206
alice,Vietnam,16,known,guest,page_view_jit_request,6,0.308
bob,US,15,new,employee,login,3,0.532
alice,Germany,13,new,admin,login,21,0.531
dung,Vietnam,12,new,employee,logout,6,0.238
bob,US,13,known,guest,page_view_jit_request,7,0.375
dung,Germany,17,known,employee,token_request,26,0.203
dung,US,5,new,guest,page_view_jit_request,6,0.873
dung,US,12,known,guest,page_view_home,29,0.357
bob,India,13,new,employee,logout,9,0.244
dung,Nigeria,23,known,admin,page_view_home,1,0.31
bob,Nigeria,16,known,employee,token_request,2,0.37
dung,Nigeria,2,known,guest,login,30,0.878
anonymous,Nigeria,19,known,admin,login,13,0.331
alice,India,6,new,employee,page_view_home,12,0.226
alice,Germany,10,known,employee,page_view_jit_request,19,0.2
dung,Vietnam,17,known,admin,page_view_home,4,0.187
dung,US,11,new,employee,page_view_jit_request,26,0.309
alice,Nigeria,20,known,admin,token_request,9,0.386
dung,US,8,known,employee,token_request,4,0.254
anonymous,India,6,new,admin,page_view_jit_request,8,0.381
dung,Vietnam,20,new,guest,login,0,0.667
anonymous,India,5,new,admin,page_view_jit_request,17,0.502
dung,US,17,known,guest,token_request,17,0.43
anonymous,Vietnam,9,new,employee,page_view_home,6,0.336
dung,India,17,new,admin,logout,29,0.386
anonymous,US,13,known,employee,page_view_home,25,0.186
anonymous,India,5,known,guest,login,27,0.794
anonymous,Germany,11,new,employee,logout,0,0.332
bob,India,8,known,guest,page_view_home,20,0.302
alice,Vietnam,3,new,employee,token_request,30,0.897
dung,Vietnam,19,new,guest,page_view_home,13,0.521
dung,Germany,18,known,guest,login,22,0.487
anonymous,India,13,known,admin,page_view_home,19,0.063
dung,India,16,new,admin,page_view_jit_request,10,0.28
alice,Nigeria,4,known,guest,page_view_jit_request,21,0.65
anonymous,Nigeria,18,new,guest,token_request,26,0.6
alice,US,13,new,guest,page_view_jit_request,14,0.535
bob,US,21,known,guest,token_request,21,0.527
alice,Vietnam,7,new,employee,logout,4,0.205
anonymous,Germany,19,known,guest,page_view_jit_request,28,0.326
anonymous,Germany,15,new,employee,logout,20,0.338
dung,Germany,7,known,admin,token_request,14,0.21
anonymous,Vietnam,14,known,guest,token_request,17,0.519
bob,Nigeria,23,new,admin,page_view_jit_request,28,0.532
bob,Germany,8,known,admin,page_view_home,24,0.156
bob,US,8,new,employee,page_view_home,7,0.254
alice,Nigeria,2,known,employee,logout,12,0.439
anonymous,Vietnam,13,new,guest,token_request,14,0.683
anonymous,Germany,12,known,admin,page_view_jit_request,15,0.001
alice,India,12,new,admin,token_request,25,0.521
anonymous,Germany,7,new,guest,page_view_jit_request,0,0.478
bob,US,14,known,admin,token_request,0,0.381
dung,Vietnam,20,new,employee,page_view_jit_request,5,0.21
bob,India,6,new,guest,page_view_home,24,0.576
alice,Germany,8,known,guest,login,23,0.508
alice,US,20,known,admin,login,24,0.206
anonymous,US,0,known,employee,logout,15,0.434
anonymous,Germany,22,new,guest,logout,19,0.521
dung,US,9,known,admin,login,29,0.262
bob,Germany,22,known,employee,token_request,22,0.366
anonymous,Vietnam,22,new,admin,token_request,25,0.424
dung,India,17,new,admin,page_view_home,2,0.301
alice,Vietnam,13,new,employee,page_view_jit_request,30,0.272
bob,US,13,known,admin,token_request,30,0.33
bob,Germany,13,new,guest,logout,26,0.587
alice,Germany,7,new,admin,token_request,21,0.476
dung,Germany,10,known,guest,logout,11,0.36
alice,India,19,new,admin,login,16,0.59
dung,US,23,new,guest,token_request,24,0.948
bob,Germany,14,known,employee,page_view_home,7,0.081
anonymous,India,21,new,guest,token_request,16,0.669
alice,India,22,new,guest,page_view_home,8,0.446
anonymous,India,3,known,employee,logout,23,0.397
alice,Vietnam,6,new,employee,page_view_home,5,0.26
